ssl_model,head_model,calibration,scenario,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
S2V,MLP,linearprobing,one_domain,Fragment,0.3387,0.3397,0.0073,0.2499,0.0071,0.3387,0.008,1.6643,0.0418
S2V,FCN,linearprobing,one_domain,Fragment,0.1939,0.1375,0.0285,0.0828,0.0177,0.1939,0.0422,1.6122,0.0187
S2V,MLP,finetuning,one_domain,Fragment,0.2172,0.1367,0.0837,0.1634,0.0397,0.2172,0.0703,8.3586,2.6819
S2V,FCN,finetuning,one_domain,Fragment,0.1215,0.0531,0.0174,0.0775,0.0222,0.1215,0.0146,1.8672,0.0215
TS2V,MLP,finetuning,one_domain,Fragment,0.6859,0.6872,0.031,0.6305,0.0387,0.6859,0.0323,1.5748,0.1744
TS2V,MLP,linearprobing,one_domain,Fragment,0.6172,0.6213,0.0115,0.5345,0.0171,0.6172,0.007,1.0728,0.0226
TS2V,FCN,linearprobing,one_domain,Fragment,0.2675,0.1854,0.0342,0.1169,0.0166,0.2675,0.0649,1.6208,0.058
TS2V,FCN,finetuning,one_domain,Fragment,0.1656,0.0849,0.0622,0.0942,0.0603,0.1656,0.0869,2.3064,0.7688
TSTCC,MLP,linearprobing,one_domain,Fragment,0.5865,0.5451,0.0297,0.4243,0.0348,0.5865,0.0367,0.8862,0.0152
TSTCC,FCN,linearprobing,one_domain,Fragment,0.2405,0.1909,0.018,0.1967,0.0291,0.2405,0.0265,1.6382,0.036
TSTCC,FCN,finetuning,one_domain,Fragment,0.1129,0.0533,0.0336,0.0608,0.0279,0.1129,0.0166,1.8558,0.0776
TSTCC,MLP,finetuning,one_domain,Fragment,0.1681,0.0519,0.0095,0.0525,0.0101,0.1681,0.0055,9.8187,0.8608
