ssl_model,scenario,dataset,avg_loss,acc,acc_std,f1,f1_std,recall,recall_std,precision,precision_std
TSTCC,MLP_linearprobing_and_one_domain,Fragment,0.5509,0.5317,0.0063,0.4072,0.0076,0.5509,0.008,1.1092,0.0158
TSTCC,MLP_linearprobing_and_four_domains,Fragment,0.5043,0.4837,0.0066,0.3457,0.0084,0.5043,0.0051,1.0121,0.03
TSTCC,FCN_finetuning_and_four_domains,Fragment,0.281,0.168,0.1165,0.1032,0.0564,0.281,0.1058,1.8616,0.1345
TSTCC,FCN_linearprobing_and_one_domain,Fragment,0.1951,0.1054,0.0496,0.0825,0.0337,0.1951,0.057,1.6465,0.0328
TSTCC,FCN_linearprobing_and_four_domains,Fragment,0.1988,0.0939,0.0192,0.1003,0.0306,0.1988,0.0192,1.6779,0.0777
TSTCC,FCN_finetuning_and_one_domain,Fragment,0.1988,0.0923,0.0674,0.0653,0.0171,0.1988,0.1265,1.8659,0.0809
TSTCC,MLP_finetuning_and_one_domain,Fragment,0.1656,0.0474,0.0002,0.0477,0.0002,0.1656,0.0,8.2364,2.6857
TSTCC,MLP_finetuning_and_four_domains,Fragment,0.0613,0.0235,0.0084,0.0289,0.0109,0.0613,0.0264,7.8728,1.4882
TS2Vec,MLP_finetuning_and_one_domain,Fragment,0.6699,0.6782,0.0241,0.6147,0.0366,0.6699,0.0262,1.6432,0.2423
TS2Vec,MLP_linearprobing_and_one_domain,Fragment,0.616,0.6201,0.0119,0.5312,0.0156,0.616,0.0093,1.0617,0.0155
TS2Vec,MLP_linearprobing_and_four_domains,Fragment,0.5951,0.596,0.0324,0.5244,0.0428,0.5951,0.035,1.0051,0.0542
TS2Vec,MLP_finetuning_and_four_domains,Fragment,0.5448,0.5549,0.0324,0.5013,0.029,0.5448,0.0408,2.6308,0.7246
TS2Vec,FCN_linearprobing_and_four_domains,Fragment,0.3583,0.2425,0.0874,0.1745,0.1019,0.3583,0.0536,1.6334,0.0274
TS2Vec,FCN_linearprobing_and_one_domain,Fragment,0.2834,0.1874,0.0613,0.1155,0.0543,0.2834,0.0696,1.6302,0.0639
TS2Vec,FCN_finetuning_and_four_domains,Fragment,0.2196,0.1495,0.0767,0.1431,0.0309,0.2196,0.0653,2.1727,0.1703
TS2Vec,FCN_finetuning_and_one_domain,Fragment,0.1399,0.0901,0.0532,0.0952,0.0601,0.1399,0.0822,2.2562,0.615
Series2Vec,MLP_linearprobing_and_four_domains,Fragment,0.5362,0.5133,0.014,0.4125,0.0159,0.5362,0.0127,1.1458,0.0162
Series2Vec,MLP_linearprobing_and_one_domain,Fragment,0.3558,0.3393,0.0054,0.2517,0.0058,0.3558,0.0043,1.4782,0.019
Series2Vec,FCN_linearprobing_and_four_domains,Fragment,0.4282,0.3054,0.0982,0.1855,0.0541,0.4282,0.1202,1.5956,0.0237
Series2Vec,FCN_linearprobing_and_one_domain,Fragment,0.3018,0.1781,0.0223,0.1014,0.0158,0.3018,0.0548,1.5885,0.0045
Series2Vec,MLP_finetuning_and_four_domains,Fragment,0.1865,0.1029,0.0139,0.1498,0.0203,0.1865,0.0166,6.459,0.8015
Series2Vec,MLP_finetuning_and_one_domain,Fragment,0.1767,0.0974,0.0855,0.1122,0.0619,0.1767,0.0666,9.5804,1.3496
Series2Vec,FCN_finetuning_and_four_domains,Fragment,0.184,0.0747,0.0112,0.0645,0.0114,0.184,0.0144,1.8286,0.0193
Series2Vec,FCN_finetuning_and_one_domain,Fragment,0.108,0.0357,0.0076,0.0553,0.0097,0.108,0.0055,1.8899,0.0345
